city,link,price,title,location,builtArea,usableArea,bedrooms,bathrooms,floor,age,condition,garage,orientation,energyCertificate,communityExpenses,airConditioning,elevator,houseHeating,houseHeatingType,terrace,swimmingPool,swimmingPoolType,houseType,photo,latitude,longitude
0,https://www.pisos.com/comprar/apartamento-las_chapas_rio_real-32522680897_105300/,133.0,Casa adosada en venta en Calle Rafael Alberti,Humilladero,146.0,120.0,3.0,2.0,,Entre 10 y 20 años,En buen estado,1,Sur,,,Frío,0,0,,1,0,,Adosada,https://fotos.imghs.net/l/1005/546/1005_1078546_1_2020050413052893048.JPG,36.560373,-4.607386
0,https://www.pisos.com/comprar/estudio-playa_de_la_fontanilla29602-30932292913_525642/,745.0,Chalet en venta en Calle de la Manzanilla,Manantiales-Cortijo Zapata (Alhaurín de la Torre),318.0,300.0,4.0,3.0,,,,1,Noroeste,,,,0,1,Central,1,1,Propia,,https://fotos.imghs.net/l/1005/450/1005_162964539450_1_2022111623110875553.jpg,36.853955,-4.820696
0,https://www.pisos.com/comprar/piso-benalmadena_arroyo_de_la_miel-30892940675_999251/,675.0,"Piso en venta en Calle de Ramón Gómez de la Serna, 22",Playa de la Fontanilla (Distrito Centro. Marbella),113.0,107.0,,1.0,2.0,,En buen estado,2,,,,,0,0,,0,0,,,https://fotos.imghs.net/l/991606/22552517118.991606/991606_22552517118_9_20220330112132706.jpg,36.50958,-4.895758
0,https://www.pisos.com/comprar/casa-centro_puerto29680-22506551114_108500/,250.0,Piso en venta en Calle de los Girasoles,Parque de la Paloma (Distrito Benalmádena Costa. Benalmádena),90.0,74.0,2.0,1.0,1.0,Entre 5 y 10 años,En buen estado,1,Este,,Entre 80 y 100€,Frío y calor,1,1,Eléctrica,1,0,,,https://fotos.imghs.net/l/525935/31754751431.525935/525935_31754751431_22_20230222125010518.jpg,36.733107,-4.441034
0,https://www.pisos.com/comprar/casa-mijas_pueblo_sierra-29249783526_500420/,220.0,Ático en venta en Calle Santa Gema,Los Boliches (Fuengirola),131.0,91.0,3.0,1.0,7.0,,,1,Noroeste,,Entre 40 y 60€,,1,0,,1,0,,,https://fotos.imghs.net/l/1005/829/1005_170199773829_1_2022101711101400328.jpg,36.720914,-4.417877
0,https://www.pisos.com/comprar/casa-parque_de_la_paloma29631-32533365835_523561/,185.0,Apartamento en venta en Calle Río Mesa,Centro (Torremolinos),65.0,60.0,2.0,1.0,5.0,,En buen estado,,,,,,0,0,,1,0,,,https://fotos.imghs.net/l/999282/30926907081.999282/999282_30926907081_8_20230105181626982.jpg,36.510716,-4.843426
0,https://www.pisos.com/comprar/casa_adosada-tolox_centro_urbano-893149196_100100/,199.0,Apartamento en venta en Calle Cornisa del Sol,Urbanización El Hacho-La Duquesa Golf (Manilva),110.0,90.0,2.0,2.0,,,En buen estado,1,Suroeste,,Más de 100€,Frío,1,0,,1,0,,,https://fotos.imghs.net/l/1005/256/1005_3683256_1_2023030711030558125.jpg,36.502494,-4.727204
0,https://www.pisos.com/comprar/chalet-calaburras_el_chaparral29649-23335329861_100500/,296.0,Piso en venta en Calle de Cuenca,Casco Antiguo (Distrito Centro. Estepona),135.0,105.0,4.0,2.0,4.0,Entre 30 y 50 años,En buen estado,,Suroeste,,Entre 60 y 80€,Frío,1,1,Central,1,1,Comunitaria,,https://fotos.imghs.net/l/997608/29258078920.997608/997608_29258078920_1_20221114122449248.jpg,36.740618,-5.164362
0,https://www.pisos.com/comprar/casa_adosada-bel_air_cancelada_saladillo-22591023969_524203/,105.0,"Piso en venta en Avenida de San Carlos, 13",Puerto Marina (Distrito Benalmádena Costa. Benalmádena),90.0,,1.0,1.0,,,A reformar,,Norte,,,,0,0,,0,0,,,https://fotos.imghs.net/l/1005/587/1005_96455587_1_2023013022014377874.jpg,36.738162,-4.360471
0,https://www.pisos.com/comprar/casa-pinos_de_alhaurin_lauro_golf-23342908141_996965/,300.0,Piso en venta en Calle La Dama de Noche. los Naranjos,Puerto Banús (Distrito Nueva Andalucía. Marbella),100.0,92.0,2.0,2.0,1.0,Entre 10 y 20 años,Reformado,1,Sur,,,Frío y calor,1,1,Gas natural,1,1,Comunitaria,,https://fotos.imghs.net/l/524602/29223030070.524602/524602_29223030070_1_20221111201334181.jpg,36.500021,-4.948661
